Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
attElementResist,progression,Attribute,,,Element,,,,,,エレメンタル,,,,,,元素,元素,
attElementResistName,progression,Attribute,,,Protection Of Elements,,,,,,エレメンタルの保護,,,,,,元素之护,元素之護,
attElementResistDesc,progression,Attribute,,,"Use elemental powers to change maximum health and maximum Stamina.\nAs you increase your skill level, your player's health and stamina will gradually increase, your stamina consumption will decrease, and your attack speed will increase slightly.",,,,,,エレメンタルパワーを使用して、最大のHealthと最大のStaminaを変更します。\nスキルレベルを上げると、プレイヤーのバイタリティとStaminaが徐々に増加し、Staminaの消費が減少し、攻撃速度が少し増加します。,,,,,,利用元素力量来改变自身的最大生命值与最大耐力值。\n增加技能等级后，玩家的生命力与耐力会逐渐提升，并且降低耐力的消耗程度，提升少量的攻击速度。,利用元素力量來改變自身的最大生命值與最大耐力值。\n增加技能等級後，玩家的生命力與耐力會逐漸提升，並且降低耐力的消耗程度，提升少量的攻擊速度。,

attElementResistRank1Desc,progression,Attribute,,,Protection Of Elements I,,,,,,エレメンタルの保護I,,,,,,元护I,元護Ⅰ,
attElementResistRank2Desc,progression,Attribute,,,Protection Of Elements II,,,,,,エレメンタルの保護II,,,,,,元护II,元護Ⅱ,
attElementResistRank3Desc,progression,Attribute,,,Protection Of Elements III,,,,,,エレメンタルの保護III,,,,,,元护III,元護Ⅲ,
attElementResistRank4Desc,progression,Attribute,,,Protection Of Elements IV,,,,,,エレメンタルの保護IV,,,,,,元护IV,元護Ⅳ,
attElementResistRank5Desc,progression,Attribute,,,Protection Of Elements V,,,,,,エレメンタルの保護V,,,,,,元护V,元護Ⅴ,
attElementResistRank6Desc,progression,Attribute,,,Protection Of Elements VI,,,,,,エレメンタルの保護VI,,,,,,元护VI,元護Ⅵ,
attElementResistRank7Desc,progression,Attribute,,,Protection Of Elements VII,,,,,,エレメンタルの保護VII,,,,,,元护VII,元護Ⅶ,
attElementResistRank8Desc,progression,Attribute,,,Protection Of Elements VIII,,,,,,エレメンタルの保護VIII,,,,,,元护VIII,元護Ⅷ,
attElementResistRank9Desc,progression,Attribute,,,Protection Of Elements IX,,,,,,エレメンタルの保護IX,,,,,,元护IX,元護Ⅸ,
attElementResistRank10Desc,progression,Attribute,,,Protection Of Elements X,,,,,,エレメンタルの保護X,,,,,,元护X,元護Ⅹ,
